figure_id	Collection	Compartment	OMEROFigurelink	image	Flybase_ID	FlyBase link	Gene	If there is RNA expression, what patterns does the RNA make?_x	If there is protein expression, what patterns does the protein make?_x	Is RNA present in NBs?_x	Is protein present in NBs?_x	Is RNA present in other cells?_x	Is protein present in other cells?_x	General comments_x	If there is RNA expression, what patterns does the RNA make?_y	If there is protein expression, what patterns does the protein make?_y	Is RNA present in NBs?_y	Is protein present in NBs?_y	Is RNA present in other cells?_y	Is protein present in other cells?_y	General comments_y	neural RNAi phenotype	GO molecular function	GO biological process	L3 CNS	3prime UTR length	GO cellular component	FlyAtlas expression
2137758.0	CPTI001039	CB	https://omero1.bioch.ox.ac.uk/figure/file/2137758	2137758.png	FBgn0263930	http://flybase.org/reports/FBgn0263930	dally	Evenly distributed	"Nuclear	Cell edges"	No	No	No	No		Evenly distributed	"Nuclear	Cell edges"	No	No	No	No			protein binding	chaeta morphogenesis,imaginal disc-derived wing vein morphogenesis,motor neuron axon guidance,compound eye development,axonogenesis,regulation of protein localization to membrane,regulation of cell cycle,wing disc pattern formation,female germ-line stem cell asymmetric division,positive regulation of smoothened signaling pathway,regulation of imaginal disc growth,epithelial cell migration,cell migration,negative regulation of semaphorin-plexin signaling pathway,wing disc development,wing disc morphogenesis,sensory organ boundary specification,chaeta development,wing disc anterior/posterior pattern formation,imaginal disc-derived leg morphogenesis,germ-line stem cell population maintenance,segment polarity determination,positive regulation of BMP signaling pathway,positive regulation of fibroblast growth factor receptor signaling pathway,open tracheal system,dendrite morphogenesis,maintenance of protein location in extracellular region,wing disc dorsal/ventral pattern formation,positive regulation of canonical Wnt signaling pathway	22	1874,835	basolateral plasma membrane,perivitelline space,apical plasma membrane,cell surface,collagen-containing extracellular matrix,anchored component of external side of plasma membrane	Virgin spermatheca,Brain,Larval tubule,Thoracicoabdominal ganglion,Larval midgut,Larvae hindgut,Head,Larval salivary gland,Mated spermatheca,Salivary gland,Larval trachea,Crop,Adult heart,Larval CNS,Hindgut,Adult eye,S2 cells,Midgut
2137969.0	CPTI002406	CB	https://omero1.bioch.ox.ac.uk/figure/file/2137969	2137969.png	FBgn0011224	http://flybase.org/reports/FBgn0011224	heph	"Single transcripts	Nuclear	Cell type specific"	"Cell edges	Diffuse"	No	No	No	No		"Single transcripts	Nuclear	Cell type specific"	"Cell edges	Diffuse"	No	No	No	No			mRNA regulatory element binding,translation repressor activity,mRNA binding,mRNA 3'-UTR binding	imaginal disc-derived wing vein morphogenesis,oocyte microtubule cytoskeleton polarization,imaginal disc-derived wing margin morphogenesis,spermatid development,negative regulation of oskar mRNA translation,sperm individualization,mRNA processing	40	4868,371,873,1606,835	cytosol,nucleus,ribonucleoprotein complex,cytoplasm	Larval salivary gland,Larval carcass,Virgin spermatheca,Mated spermatheca,Brain,Adult fat body,Ovary,Larval trachea,Salivary gland,Thoracicoabdominal ganglion,Larval CNS,Tubule,Larvae hindgut
2138120.0	CPTI002315	CB	https://omero1.bioch.ox.ac.uk/figure/file/2138120	2138120.png	FBgn0262559	http://flybase.org/reports/FBgn0262559	Mdh2	"Single transcripts	Nuclear"	"Nuclear	Cell edges"	No	No	No	No		"Single transcripts	Nuclear"	"Nuclear	Cell edges"	No	No	No	No			malate dehydrogenase activity,L-malate dehydrogenase activity	larval midgut cell programmed cell death,carboxylic acid metabolic process,pupal development,salivary gland cell autophagic cell death,tricarboxylic acid cycle,regulation of programmed cell death,carbohydrate metabolic process,positive regulation of programmed cell death,salivary gland histolysis	71	219	mitochondrion,cytoplasm	Head,Virgin spermatheca,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Tubule,Crop,Adult heart,Hindgut,Midgut,Adult eye,Larval midgut,Larvae hindgut
2138245.0	CPTI003339	CB	https://omero1.bioch.ox.ac.uk/figure/file/2138245	2138245.png	FBgn0002645	http://flybase.org/reports/FBgn0002645	Map205	"Nuclear	Cell type specific	More in some cells than others"	Cytoplasmic	No	No	No	No		"Nuclear	Cell type specific	More in some cells than others"	Cytoplasmic	No	No	No	No				mitotic cell cycle,centrosome cycle	55	306,730,2043	midbody,microtubule associated complex,spindle	Larval carcass,S2 cells,Virgin spermatheca,Mated spermatheca,Adult fat body,Larval tubule,Ovary,Larval trachea,Crop,Adult heart,Larval CNS,Hindgut,Larval midgut,Larvae hindgut
2138252.0	CPTI001308	CB	https://omero1.bioch.ox.ac.uk/figure/file/2138252	2138252.png	FBgn0052479	http://flybase.org/reports/FBgn0052479	Usp10	"Single transcripts	Nuclear"	"Nuclear	Cell edges"	No	No	No	No		"Single transcripts	Nuclear"	"Nuclear	Cell edges"	No	No	No	No			thiol-dependent deubiquitinase	protein deubiquitination,positive regulation of Notch signaling pathway,ubiquitin-dependent protein catabolic process,negative regulation of transcription elongation from RNA polymerase II promoter	16	1345,3138	cytosol,NELF complex	Larval CNS,Larval salivary gland,Larval carcass,S2 cells,Adult fat body,Ovary
2138256.0	CPTI003173	CB	https://omero1.bioch.ox.ac.uk/figure/file/2138256	2138256.png	FBgn0260462	http://flybase.org/reports/FBgn0260462	CG12163	"Single transcripts	Nuclear"	"Diffuse	Large aggregations"	No	No	No	No		"Single transcripts	Nuclear"	"Diffuse	Large aggregations"	No	No	No	No			cysteine-type endopeptidase activity,cysteine-type peptidase activity	proteolysis involved in cellular protein catabolic process	46	158,240	fusome,perivitelline space,lysosome,extracellular space	Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Thoracicoabdominal ganglion,Larval midgut,Larval fat body,Larvae hindgut,Head,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Tubule,Adult heart,Hindgut,Adult eye,S2 cells,Midgut
2138318.0	CPTI001580	CB	https://omero1.bioch.ox.ac.uk/figure/file/2138318	2138318.png				Cell type specific	"Large aggregations	Cytoplasmic"	No	No	No	No		Cell type specific	"Large aggregations	Cytoplasmic"	No	No	No	No								
2138322.0	CPTI001261	CB	https://omero1.bioch.ox.ac.uk/figure/file/2138322	2138322.png				"Evenly distributed	Single transcripts	Nuclear"	Nuclear	No	No	No	No		"Evenly distributed	Single transcripts	Nuclear"	Nuclear	No	No	No	No								
2138441.0	CPTI000877	CB	https://omero1.bioch.ox.ac.uk/figure/file/2138441	2138441.png	FBgn0010217	http://flybase.org/reports/FBgn0010217	ATPsynbeta	"Cell type specific	More in some cells than others"	Large aggregations	No	No	No	No		"Cell type specific	More in some cells than others"	Large aggregations	No	No	No	No			rotational mechanism,ATP binding,proton-transporting ATP synthase activity	ATP synthesis coupled proton transport,mitochondrial ATP synthesis coupled proton transport	132	144,504	catalytic core F(1),mitochondrial proton-transporting ATP synthase complex,catalytic core,mitochondrion,proton-transporting ATP synthase complex,mitochondrial proton-transporting ATP synthase	Larval carcass,Virgin spermatheca,Adult carcass,Adult fat body,Mated spermatheca,Salivary gland,Tubule,Crop,Adult heart,Hindgut,Midgut,Larval midgut,Larvae hindgut
2138655.0	CPTI000736	CB	https://omero1.bioch.ox.ac.uk/figure/file/2138655	2138655.png	FBgn0261722	http://flybase.org/reports/FBgn0261722	fwe	Single transcripts	"Diffuse	Large aggregations"	No	No	No	No		Single transcripts	"Diffuse	Large aggregations"	No	No	No	No			calcium channel activity	photoreceptor cell differentiation,vesicle-mediated transport,positive regulation of neuron apoptotic process,synaptic vesicle endocytosis,cell competition in a multicellular organism,calcium ion transport,positive regulation of presynaptic cytosolic calcium concentration,regulation of apoptotic process,bulk synaptic vesicle endocytosis,calcium ion transmembrane transport,clathrin-dependent synaptic vesicle endocytosis	70	2307,1756,623	spanning component of plasma membrane,integral component of synaptic vesicle membrane	Male accessory glands,Virgin spermatheca,Brain,Larval tubule,Ovary,Thoracicoabdominal ganglion,Larval midgut,Larval fat body,Larvae hindgut,Head,Larval salivary gland,Mated spermatheca,Adult fat body,Tubule,Salivary gland,Adult heart,Larval CNS,Adult eye,S2 cells,Midgut
