figure_id,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Is RNA present in NBs?,Is protein present in NBs?,Is RNA present in other cells?,Is protein present in other cells?,General comments
2138694,Nuclear	Cell type specific,Diffuse	Large aggregations,No,No,No,No,
2138256,Single transcripts	Nuclear,Diffuse	Large aggregations,No,No,No,No,
2138708,Evenly distributed,Nuclear	Cell edges,No,No,No,No,
2138252,Single transcripts	Nuclear,Nuclear	Cell edges,No,No,No,No,
2137758,Evenly distributed,Nuclear	Cell edges,No,No,No,No,
2138655,Single transcripts,Diffuse	Large aggregations,No,No,No,No,
2137969,Single transcripts	Nuclear	Cell type specific,Cell edges	Diffuse,No,No,No,No,
2138907,Single transcripts,Diffuse	Large aggregations,No,No,No,No,
2138120,Single transcripts	Nuclear,Nuclear	Cell edges,No,No,No,No,
2138873,Cell type specific	More in some cells than others,Cytoplasmic,No,No,No,No,
2138245,Nuclear	Cell type specific	More in some cells than others,Cytoplasmic,No,No,No,No,
2138441,Cell type specific	More in some cells than others,Large aggregations,No,No,No,No,
2138906,Cell type specific,Cytoplasmic	Cell type specific	Other,No,No,No,No,
2138318,Cell type specific,Large aggregations	Cytoplasmic,No,No,No,No,
2138322,Evenly distributed	Single transcripts	Nuclear,Nuclear,No,No,No,No,
